EG1,researcher1,researcher2,researcher3,researcher4,researcher5,researcher6,researcher7,researcher8,researcher9,,,,average time,,,,,,,,,,,,
Before,195,600,172,449,360,300,,,,,,,346,,,,,avg before,,avg after,,,,,
After,,,,,,,363,60,,,,,211.5,,,,,260.8666667,,201.6875,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
EG 2,,,,,,,,,,,,,,,,,,,,,,,,,
Before,30,123,31,180,360,300,,,,,,,170.6666667,,,,,total time savings,,,,,,,
After,,,,,,,278,120,,,,,199,,,,,0.226855993,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
EG3,,,,,,,,,,,,,,,,,,,,,,,,,
Before,360,241,206,366,240,300,,,,,,,285.5,,,,,mann whitney p-value,,,,,,,
After,,,,,,,187,180,,,,,183.5,,,,,0.1141,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
EG4,,,,,,,,,,,,,,,,,,,,,,,,,
Before,,,,,,,412,300,,,,,356,,,,,,,,,,,,
After,230,600,600,277,180,600,,,,,,,414.5,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
EG5,,,,,,,,,,,,,,,,,,,,,,,,,
Before,,,,,,,226,120,,,,,173,,,,,,,,,,,,
After,185,246,90,257,60,,,,,,,,167.6,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
EG6,,,,,,,,,,,,,,,,,,,,,,,,,
Before,,,,,,,189,,,,,,189,,,,,,,,,,,,
After,68,128,61,125,60,60,,,,,,,83.66666667,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
