person,package,e1,completed?,Time,difficulty,e2,completed?,Time,difficulty,e3,completed?,Time,difficulty,e4,completed?,Time,difficulty,,e5,completed?,Time,difficulty,,e6,completed?,Time,difficulty,
pro1,2D,e1,Y,120,2,e2,Y,68,1,e3,Y,107,4,e4,Y,83,5,3,e5,Y,66,1,5,e6,Y,90,2,3
researcher1,2G,e1,Y,195,2,e2,Y,30,1,e3,N,360,5,e4,Y,230,4,4,e5,Y,185,4,5,e6,Y,68,2,5
researcher2,2C,e1,Y,600,4,e2,Y,123,2,e3,Y,241,3,e4,Y,600,3,4,e5,Y,246,2,5,e6,Y,128,2,5
researcher3,2I,e1,Y,172,3,e2,Y,31,2,e3,Y,206,3,e4,Y,600,5,5,e5,Y,90,2,4,e6,Y,61,2,2
pro2,2E,e1,Y,243,3,e2,Y,108,1,e3,Y,304,3,e4,Y,411,4,4,e5,Y,100,1,5,e6,Y,59,2,4
pro3,2B,e1,Error in timing,,1,e2,Error in timing,,1,e3,Error in timing,,2,e4,Error in timing,,4,3,e5,Y,35,1,4,e6,Y,41,1,4
researcher4,2F,e1,Y,449,4,e2,Y,180,1,e3,Y,366,2,e4,Y,277,3,5,e5,Y,257,1,5,e6,Y,125,3,5
researcher5,2J,e1,Y,360,3,e2,Y,360,1,e3,Y,240,1,e4,Y,180,4,4,e5,Y,60,1,5,e6,Y,60,1,5
researcher6,2A,e1,Y,300,3,e2,Y,300,3,e3,Y,300,3,e4,N,600,3,3,e5,Skipped,,,,e6,Y,60,2,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Time,difficulty,,Time,difficulty,,Time diff,diff diff,,avg time saved,,,,,,,,,,,,,,,,,,
Total e1,304.875,2.777777778,,266.8,2.4,,-38.075,-0.377777778,,0.124887249,,,,,,,,,,,,,,,,,,
Total e2,150,1.444444444,,115.8,1,,-34.2,-0.444444444,,0.228,,,,,,,,,,,,,,,,,,
Total e3,265.5,2.888888889,,174.6,2,,-90.9,-0.888888889,,0.342372881,,,,,,,,,,,,,,,,,,
Total e4,372.625,3.888888889,,572.8,3.833333333,,-200.175,0.055555556,,0.349467528,,,,,,,,,,,,,,,,,,
Total e5,129.875,1.625,,152.4,1.6,,-22.525,0.025,,0.147801837,,,,,,,,,,,,,,,,,,
Total e6,76.88888889,1.888888889,,179.75,2,,-102.8611111,-0.111111111,,0.572245403,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,avg,0.29412915,,,,,,,,,,,,,,,,,,
,,,,,,,,,median,0.285186441,,,,,,,,,,,,,,,,,,
,helpfulness,meantime with help,meantime wo help,,,,,,,,,,,,,,,,,,,,,,,,,
Total e1,4.166666667,270.8875,189.4314815,,,,,,,,,,,,,,,,,,,,,,,,,
Total e2,4.5,std dev,stddev,,,,,,,,,,,,,,,,,,,,,,,,,
Total e3,4.833333333,160.8069975,110.8152791,,,,,,,,,,,,,,,,,,,,,,,,,
Total e4,3.888888889,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total e5,4.75,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total e6,3.777777778,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVG,4.319444444,,,,,,,,,,,,,,,,,,,,,,,,,,,
